target,city_state,metro,website,decision_maker,dm_title,contact_path,size_signal,public_pain_signal,score,warm_or_cold,best_channel,pain_monthly_est,pain_summary,ai_fix,status,source_url
"TriStar Tax and Business Solutions","Nashville / Hendersonville, TN","Nashville","tristarteam.tax","Brad Jones, CPA","Owner / Founder","Website contact form / main line (see site)","Locally owned, family operated since 2014; small team across 5 middle-TN offices","Multi-office small firm = call routing pain across sites; growth outpacing the front desk",85,"cold","Loom email + phone","$2,500-$6,000 (est.)","Missed/misrouted calls across 5 small offices (worst Jan-Apr) -> lost retained clients; PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://tristarteam.tax/about-tristar-tax-and-business-solutions/"
"Louis Haskel, CPA, PA","Clearwater, FL","Tampa","lhaskelcpa.com","Louis Haskel, CPA","Owner","Website contact form / main line (see site)","Solo owner-CPA since 1993, single office; serves greater Tampa Bay","Lou works personally with each client = nobody else answers the line; payroll + tax + books",89,"cold","Loom email + phone","$1,000-$3,000 (est.)","Missed calls while solo owner is in client work (worst Jan-Apr) -> lost retained clients ($1,500-$5,000/yr each); doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://lhaskelcpa.com/about-us/"
"CPA Tax Services, LLC","Riverview, FL","Tampa","tampataxcpa.com","Mike Fletcher, CPA [verify]","Owner","Website contact form / main line (see site)","Owner + ~3 staff (CPA, EA, admin), single office; ex-IRS-agent founder","Tax-resolution + prep demand is deadline-driven; tiny team already uses an online scheduler",87,"cold","Loom email + phone","$1,500-$4,000 (est.)","Tax-season call spikes overflow a 4-person office -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://tampataxcpa.com/"
"Josh Cahan, CPA","Charlotte, NC","Charlotte","joshcahancpa.com","Josh Cahan, CPA","Owner","Website contact form / main line (see site)","Solo owner-CPA (ex-KPMG), single office (Fairview Rd)","Solo advisor since 1995; bookkeeping + tax + crypto/IRS-resolution niches drive inbound calls",88,"cold","Loom email + phone","$1,000-$3,000 (est.)","Missed calls while solo owner is in client work (worst Jan-Apr) -> lost retained clients ($1,500-$5,000/yr each); doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://www.joshcahancpa.com/about-us.htm"
"Todd Greene, CPA, PLLC","Charlotte, NC","Charlotte","toddgreenecpa.com","Todd Greene, CPA","Owner","Website contact form / main line (see site)","Owner + ~3 staff (office manager, tax manager), single office","3-person office = second caller rolls to voicemail in season; small-biz accounting focus",87,"cold","Loom email + phone","$1,500-$4,000 (est.)","Tax-season call spikes overflow a 3-person desk -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://toddgreenecpa.com/our-firm/"
"David Love CPA, PLLC","Charlotte, NC","Charlotte","love-cpa.com","David Love, CPA","Owner","Website contact form / main line (see site)","Owner-led PLLC since 1988, single office; small-biz accounting + back-tax relief","Tax-resolution callers are urgent and shop fast; owner-led office, thin desk",86,"cold","Loom email + phone","$1,500-$4,000 (est.)","Missed urgent back-tax/season calls -> lost retained clients ($1,500-$5,000/yr each); doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://www.love-cpa.com/about.htm"
"Lowy's Tax Planning & Accounting, PLLC","Phoenix, AZ","Phoenix","lowyyourtaxes.com","Alex Lowy, CPA","Founder / Owner","Website contact form / main line (see site)","Owner-founded 2002; small team; 300+ small-biz clients + 600 individual returns/yr","600 returns/yr = brutal Jan-Apr phone + document chase on a small office",91,"cold","Loom email + phone","$2,500-$6,000 (est.)","Tax-season call spikes across 900+ engagements -> lost retained clients ($1,500-$5,000/yr each); organizer/PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://www.lowyyourtaxes.com/about-us.htm"
"Urke & Stoller, LLP","Phoenix, AZ","Phoenix","urkecpa.com","Steven Urke [verify]","Managing Partner","Website contact form / main line (see site)","Boutique 2-partner LLP (Urke + Stoller), single office (N Tatum Blvd)","Boutique full-service firm = partners do the work AND own the phone",85,"cold","Loom email + phone","$1,500-$4,500 (est.)","Tax-season call spikes overflow a 2-partner office -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://www.urkecpa.com/"
"H&H Accounting Services, LLC","Phoenix, AZ","Phoenix","hhcpaservices.com","Firm owners (Maija + Bryson, CPA) [verify]","Owners","Website contact form / main line (see site)","Family-run independent firm; small team (owners + ops director), Phoenix + Scottsdale","Family-run, relationship-positioned = owners do the work AND answer the phones",84,"cold","Loom email + phone","$1,500-$4,500 (est.)","Tax-season call spikes overflow a family-run desk -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://www.hhcpaservices.com/about-hh-cpa"
"Foster Financial CPA","Scottsdale / Phoenix, AZ","Phoenix","fosterfinancialcpa.com","Nick T. Foster, CPA","Founder / Owner","Website contact form / main line (see site)","Boutique owner-led firm, founded 2016; small-biz accounting, payroll + tax","Boutique small-biz book (construction niche) = deadline-driven call bursts on a thin desk",85,"cold","Loom email + phone","$1,500-$4,500 (est.)","Tax-season call spikes overflow a boutique desk -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://fosterfinancialcpa.com/about-us/"
"Hamilton & Associates CPA, LLC","Brandon, FL","Tampa","cpabrandonfl.com","Rachel Santana + Dustin Orr [verify]","Owner / Partner + Managing Member","Website contact form / main line (see site)","Owner-operated since 1983; ~3 small offices (Brandon, Plant City, Gainesville GA) — verify size","Multi-office small firm + recent merger = call routing + onboarding load across sites",83,"cold","Loom email + phone","$2,500-$6,000 (est.)","Missed/misrouted calls across 3 small offices (worst Jan-Apr) -> lost retained clients; PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call + verify size","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://www.cpabrandonfl.com/"
"Tax Happens LLC","Riverview, FL","Tampa","taxhappens.com","Theresa Turner, CPA","Founder / Owner","Website contact form / main line (see site)","Boutique 2-3 person firm (owner CPA/MTax + EA), single office + virtual clients","Boutique hands-on model = the owner is the front desk; 25+ yrs book of small-biz clients",88,"cold","Loom email + phone","$1,000-$3,000 (est.)","Missed calls while owner is in client work (worst Jan-Apr) -> lost retained clients ($1,500-$5,000/yr each); doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days","PROCEED","https://taxhappens.com/about-us/"
"H&R Block","Kansas City, MO (HQ; ~9,000 offices nationwide)","National","hrblock.com","N/A","National tax-prep chain","N/A","Publicly traded national chain; corporate + franchise retail offices in every metro","Corporate call centers + retail staffing own the phones",10,"cold","—","—","HALT: national chain with corporate intake/call-center infrastructure -> no owner-operator buyer; the missed-call pain model does not apply","—","HALT","https://www.hrblock.com/"
"Deloitte Tax LLP","Charlotte, NC (global Big 4)","Charlotte","deloitte.com","N/A","Big 4 professional services","N/A","Big 4: hundreds of thousands of employees globally; institutional clients","Enterprise buying committees, staffed client-service infrastructure",5,"cold","—","—","HALT: Big 4 -> no SMB owner-operator, no front-desk pain; out of ICP by definition","—","HALT","https://www.deloitte.com/us/en.html"
"1-800Accountant","New York, NY (virtual, serves all metros)","National","1800accountant.com","N/A","National virtual accounting firm","N/A","Large national virtual firm; dedicated client-service / advisory teams and central scheduling","Staffed central client-service desk already answers and books",20,"cold","—","—","HALT: staffed central client-service desk + central scheduling already in place -> nothing for the AI front desk to recover; not the owner-operator buyer","—","HALT","https://1800accountant.com/"
"Dark Horse CPAs","San Diego, CA (HQ; remote principals incl. Nashville/Charlotte)","Nashville","darkhorse.cpa","N/A","National distributed CPA firm","N/A","100% remote national firm with principals in many metros; centralized brand + client experience","Surfaces in local searches as 'boutique' but is a national platform",35,"cold","—","—","HALT: national distributed platform (centralized intake/CX behind local-looking pages) -> not an independent owner-operated local firm; ICP mismatch","—","HALT","https://www.darkhorse.cpa/locations/"
"Randolph Business Resources (RBR)","Nashville, TN","Nashville","randolphacctg.com","N/A","Outsourced bookkeeping/accounting platform","N/A","40+ professionals, Inc. 5000 honoree; founded 2009","Has internal ops/admin staffing at scale",38,"cold","—","—","HALT: 40+ staff outsourced-accounting platform with staffed central ops -> exceeds solo-to-~20 ICP; owner does not own the phone","—","HALT","https://randolphacctg.com/about/"
