Urban Eyecare | Dr. David Klepfisz | (602) 288-7227 | https://urbaneyesphx.com | Phoenix | 4.9 | 578 | yes | 2 locations downtown + uptown Camelback, multiple ODs, owner-founded | https://urbaneyesphx.com/, https://reviews.birdeye.com/urban-eyecare-155756392118582 | Founded by Dr. Klepfisz, Phoenix-owned independent, rating via Birdeye aggregating Google, Dr. Dickert also on staff
Premier Eyecare of Arizona | Dr. Justin Jones | (480) 787-0318 | https://www.premiereyecareaz.com | Gilbert | 4.9 | 858 | yes | Owner Dr. Jones, 4 ODs, single location, patient-education focus | https://www.premiereyecareaz.com/, https://reviews.birdeye.com/premier-eyecare-of-az-155767753766867 | Rating via Birdeye/Google (858), online booking via Zocdoc, ocular disease mgmt
Seville Eye Center | Dr. Christopher Carpenter | (480) 279-3937 | https://sevilleeye.com | Gilbert | NOT_FOUND | NOT_FOUND | unknown | Serving Gilbert since 2006, 5 ODs (Carpenter x2 Giles Keiser Williams), single location | https://sevilleeye.com/, https://www.yelp.com/biz/seville-eye-center-gilbert | Rating not clearly visible (Facebook 80% recommend 18), larger multi-doctor independent
West Valley Vision Center | Dr. Christopher Furey | (623) 932-2020 | https://www.westvalleyvision.com | Goodyear | 4.7 | 1266 | unknown | Founded 1962, Dr. Furey leads staff of 30 + 5 ODs, single large location | https://www.westvalleyvision.com/, https://reviews.birdeye.com/west-valley-vision-center-148520592149678 | Rating via Birdeye/Google (1266), large established independent, appointment request on site
Estrella Mountain Eye Care | Dr. Steven Wan | (623) 663-0423 | https://www.estrellaeyecare.com | Avondale | 4.7 | 517 | yes | Multiple ODs (Wan Farnsworth Pyle-Smith), single location, full-service | https://www.estrellaeyecare.com/, https://reviews.birdeye.com/estrella-mountain-eye-care-155756369481744 | Rating via Birdeye/Google (517), online booking form on site, hard-to-fit contacts and disease mgmt
Eye Tech Eyes | Dr. Mark Wellman | (602) 755-9838 | https://www.eyetecheyes.com | Peoria | 4.87 | 39 | unknown | Established 1993, multiple ODs, single location serving Glendale Peoria Sun City | https://www.eyetecheyes.com/, https://www.zocdoc.com/doctor/mark-wellman-od-540875 | Rating via Zocdoc for Dr. Wellman (39), long-established independent
Desert Oasis Eye Care and Optical | Dr. Christopher J. Parot | (623) 412-8484 | https://visionsource-desertoasiseyecare.com | Peoria | 4.6 | 89 | yes | Dr. Parot opened practice 2004, single location, Vision Source member | https://visionsource-desertoasiseyecare.com/, https://www.yelp.com/biz/desert-oasis-eye-care-and-optical-peoria | Rating via Optix-now aggregate (89), request appointment online, family eye care and hard-to-fit contacts
Westbrook Vision Center | Dr. Todd Smith | (623) 256-0400 | https://www.westbrookvision.net | Peoria | NOT_FOUND | 56 | yes | Dr. Smith past AZ Optometric Assoc president, Dr. Deemer, single location | https://www.westbrookvision.net/, https://www.yelp.com/biz/westbrook-vision-center-peoria-2 | Review count via Yelp (56), schedule online available, owner-doctors
Ohana Eye Care | Dr. Alice Kwok | (623) 583-8388 | https://www.ohanaeyecare.com | Peoria | NOT_FOUND | NOT_FOUND | unknown | Veteran owned and operated, Dr. Kwok 13+ yrs, single location, full optical | https://www.ohanaeyecare.com/, https://www.yelp.com/biz/ohana-eye-care-peoria | Rating not clearly visible, owner-doctor runs every exam, NW Peoria
Eye Studio Peoria | Dr. Karie Holloway | (928) 228-5023 | https://www.eyestudiopeoria.com | Peoria | NOT_FOUND | NOT_FOUND | unknown | Owner Dr. Holloway, single location, pediatrics through geriatrics, myopia mgmt | https://www.eyestudiopeoria.com/, https://www.yelp.com/biz/eye-studio-peoria | Rating not clearly visible, dry eye and hard-to-fit contacts, owner-operated
Pearson Eyecare Arrowhead | Dr. Robin Blank | (623) 412-2020 | https://www.pearsoneyecarearrowhead.com | Glendale | NOT_FOUND | 69 | yes | Multiple ODs (Blank Reyes), single location, all-ages family care | https://www.pearsoneyecarearrowhead.com/, https://www.zocdoc.com/practice/pearson-eyecare-arrowhead-149498 | Review count via Zocdoc (69), online booking via Zocdoc, pediatrics to geriatrics
Family Eyecare of Glendale | Dr. David Kaplan | (602) 843-2900 | https://www.familyeyecareofglendale.com | Glendale | NOT_FOUND | 54 | yes | Multiple ODs (Kaplan x2 Frankel Frank +), single location in Citadelle Plaza | https://www.familyeyecareofglendale.com/, https://www.yelp.com/biz/family-eyecare-of-glendale-glendale-2 | Review count via Yelp (54), online booking via scheduleyourexam.com, myopia and dry eye care
20/20 Image Eye Centers - Glendale | Dr. Roberto Lucca | (602) 755-8541 | https://www.2020image-glendale.com | Glendale | 4.96 | 167 | yes | Small local chain (5 AZ locations), Dr. Lucca + Dr. Nadeau at Glendale | https://www.2020image-glendale.com/, https://www.zocdoc.com/doctor/roberto-lucca-od-380571 | Rating via Zocdoc for Dr. Lucca (167), 99% satisfaction, online scheduling, locally owned chain
Capella Eyecare | Dr. Anh Jibben | (480) 656-2111 | https://www.capellaeyecare.com | Fountain Hills | NOT_FOUND | 99 | no | Owner Dr. Jibben 18+ yrs, single location, primary care to pediatrics/geriatrics | https://www.capellaeyecare.com/, https://reviews.birdeye.com/capella-eyecare-147075075362486 | Review count via Birdeye (99), appointment request form only (no live widget), Chamber Health Service of Year 2018
Active Eyecare of Surprise | Dr. Inga Fors | (623) 214-0353 | https://www.activeeyecare.com | Surprise | NOT_FOUND | 41 | yes | Owner Dr. Fors, single location, neuro-optometric rehab and vision therapy | https://www.activeeyecare.com/, https://www.yelp.com/biz/active-eye-care-surprise | Review count via Yelp (41), online scheduling available, pediatric and dry eye specialties
Eyes on Fountain Hills | Dr. Nancy Hardin | (480) 837-2020 | https://www.eyesonfountainhills.com | Fountain Hills | NOT_FOUND | NOT_FOUND | unknown | Owner Dr. Hardin, single location, exams retinal imaging diagnosis | https://www.eyesonfountainhills.com/, https://www.yelp.com/biz/eyes-on-fountain-hills-fountain-hills | Rating not clearly visible, small owner-operated independent practice
