DeShon Laraye Pullen PLC | DeShon Laraye Pullen | (602) 252-1968 | https://www.deshonpullenlaw.com | Phoenix | NOT_FOUND | NOT_FOUND | unknown | Solo/small boutique, Phoenix and Scottsdale offices, family law only, Certified Family Law Specialist | https://www.deshonpullenlaw.com, https://www.avvo.com/attorneys/85016-az-deshon-pullen-388729.html | Family law divorce custody mediation, owner is managing attorney, Avvo 10.0 superb noted, Yelp shows 14 reviews, Google count not confirmed
Edwards & Petersen PLC | Joshua Edwards | (480) 418-5656 | https://www.edwardspetersen.com | Mesa | 4.6 | 100 | unknown | 2 attorneys, 1 office, since 2013, family law | https://www.edwardspetersen.com, https://reviews.birdeye.com/edwards-petersen-plc-148842521541345 | Family law, founders Joshua Edwards and Brian Petersen, 4.6 with 100 reviews per Birdeye aggregating Google
Cholewka Law PLLC | Becky L. Cholewka | (480) 497-3770 | https://www.gilbertlawoffice.com | Gilbert | NOT_FOUND | NOT_FOUND | unknown | Solo founder plus staff, 2 Gilbert offices, since 2010, estate planning | https://www.gilbertlawoffice.com, https://www.yelp.com/biz/cholewka-law-gilbert | Estate planning and probate, founder and managing attorney, Yelp 27 reviews, Google count not confirmed
LifePlan Legal AZ | Jake A. Carlson | (602) 932-3187 | https://lifeplanlegalaz.com | Gilbert | NOT_FOUND | NOT_FOUND | yes | Small firm, Gilbert and Mesa offices, estate and business succession planning | https://lifeplanlegalaz.com, https://lifeplanlegalaz.com/schedule-strategy-session/ | Estate planning and business succession, owner attorney, schedule-a-strategy-session booking page, Google five-star reviews noted
Harrison Law PLLC | Matthew Harrison | (480) 320-2310 | https://harrisonestatelaw.com | Gilbert | 4.8 | 46 | unknown | Founding member plus staff, 1 office, 25 plus years, estate planning and business | https://harrisonestatelaw.com, https://www.lawyers.com/gilbert/arizona/harrison-law-pllc-157802525-f/ | Estate planning probate and business law, founding member is owner, 4.8 with 46 reviews per Martindale-Avvo network, AV Preeminent
Clarke Law Firm PLC | Marilee Miller Clarke | (480) 991-2901 | https://clarkelawaz.com | Scottsdale | NOT_FOUND | NOT_FOUND | unknown | Solo founder, 1 office, 40 plus years, estate planning and family | https://clarkelawaz.com, https://www.avvo.com/attorneys/85250-az-marilee-clarke-394311.html | Estate planning probate business and family law, founder and owner, Martindale peer 5.0 with 9 reviews, Google count not confirmed
Nearhood Law Offices PLC | William L. Nearhood | (480) 998-3525 | https://www.nearhoodlaw.com | Scottsdale | NOT_FOUND | NOT_FOUND | unknown | Deliberately small firm, 1 office, since 1986, real estate and business | https://www.nearhoodlaw.com, https://www.yelp.com/biz/nearhood-law-offices-scottsdale | Real estate business and estate planning, three Certified Real Estate Specialists, owner-led, reliable Google rating not found
Provident Law | Christopher J. Charles | (480) 388-3343 | https://www.providentlawyers.com | Scottsdale | NOT_FOUND | NOT_FOUND | unknown | Small firm, 1 office, real estate business and family law | https://www.providentlawyers.com, https://www.avvo.com/attorneys/85254-az-christopher-charles-419210.html | Real estate business and family law, managing partner is founder and Certified Real Estate Specialist, Google count not confirmed
The Law Offices of John Phebus | John A. Phebus | (623) 847-7117 | https://www.crimeandinjurylaw.com | Glendale | NOT_FOUND | NOT_FOUND | unknown | Intentionally small firm, 1 office, 30 plus years, criminal defense and PI | https://www.crimeandinjurylaw.com, https://www.avvo.com/attorneys/85308-az-john-phebus-388302.html | Criminal defense DUI and personal injury, founder is owner, Avvo shows 20 reviews mostly five-star, stays small by choice
Faith Law PLC | Paul J. Faith | (623) 806-8994 | https://www.faithlaw.com | Goodyear | 4.5 | 12 | unknown | Small West Valley firm, since 1979, multi-practice consumer | https://www.faithlaw.com, https://lawyers.findlaw.com/arizona/goodyear/faith-law-plc-MTgxNjcwNV8x/ | Personal injury real estate probate estate planning bankruptcy, founder is owner, 4.5 with 12 reviews per FindLaw, Yelp 17 reviews
The Sorenson Law Firm LLC | Johnny J. Sorenson | (480) 839-9500 | https://sorensonlaw.net | Tempe | NOT_FOUND | NOT_FOUND | unknown | Solo founder, 1 office, since 2005, personal injury only | https://sorensonlaw.net, https://www.avvo.com/attorneys/85284-az-johnny-sorenson-396139.html | Personal injury, founder is owner, AV rated, Experience.com 4.8 from 20 reviews, Google count not confirmed, Yelp 10 reviews
Salwin Law Group | Stewart F. Salwin | (480) 702-1789 | https://www.salwinlaw.com | Scottsdale | NOT_FOUND | NOT_FOUND | unknown | Solo founder, 1 office, criminal defense and DUI | https://www.salwinlaw.com, https://www.avvo.com/attorneys/85258-az-stewart-salwin-4180729.html | Criminal defense and DUI, founder is owner and former prosecutor, Google rating not numerically confirmed
Shah Law Firm PLLC | Arja Shah | (602) 560-7408 | https://arjashahlaw.com | Phoenix | NOT_FOUND | NOT_FOUND | unknown | Solo founder, 20 years, DUI and criminal defense | https://arjashahlaw.com, https://www.avvo.com/attorneys/85004-az-arja-shah-4179828.html | DUI and criminal defense, founder is owner, Avvo 10.0, defended 3000 plus clients, Google count not confirmed
Tobin Law Office | Timothy J. Tobin | (480) 447-4837 | https://tobinlawoffice.com | Mesa | 5.0 | 1088 | unknown | Small firm, Mesa and Chandler offices, DUI and criminal defense | https://tobinlawoffice.com, https://reviews.birdeye.com/tobin-law-office-155663993190228 | DUI and criminal defense, owner is former prosecutor, 5.0 with 1088 reviews per Birdeye aggregating Google
AKN Immigration LLC | Aisha K. Nanyanzi | (480) 716-8301 | https://aknimmigration.com | Gilbert | 5.0 | 204 | unknown | Solo principal, 1 office, boutique immigration | https://aknimmigration.com, https://reviews.birdeye.com/akn-immigration-llc-169713242867179 | Immigration law, principal attorney and owner, 5.0 with 204 reviews per Birdeye aggregating Google, woman and minority owned
Seiter Law PLLC | Marcus N. Seiter | (480) 345-3300 | https://seiterlawpllc.com | Tempe | NOT_FOUND | NOT_FOUND | unknown | Solo owner, 1 office, estate planning and probate | https://seiterlawpllc.com, https://www.avvo.com/attorneys/85284-az-marcus-seiter-4693062.html | Estate planning wills trusts probate, owner attorney, Birdeye 3.6 with 15 reviews, Google count not confirmed
Arizona Family Law Attorneys | Shawnna R. Riggers | (480) 268-9393 | https://www.azfamilylawattorneys.com | Phoenix | NOT_FOUND | NOT_FOUND | unknown | Solo founder, 1 office, since 2010, family law only | https://www.azfamilylawattorneys.com, https://lawyers.justia.com/lawyer/shawnna-r-riggers-1495349 | Family law divorce custody adoption, founder is owner, Avvo 9.4 superb, serves Phoenix and Tempe, Google count not confirmed
Burns Law Office PLC | Gerald E. Burns | (480) 812-8713 | http://www.burnslawaz.com | Chandler | NOT_FOUND | NOT_FOUND | unknown | Solo founder, 1 office, since 2001, immigration | http://www.burnslawaz.com, https://www.avvo.com/attorneys/85225-az-gerald-burns-1644178.html | Family immigration removal defense and asylum, founder is owner since 2001, ratings not numerically confirmed
Blake & Pulsifer PLC | Larry Blake | (480) 838-3000 | https://www.blakepulsifer.com | Tempe | NOT_FOUND | NOT_FOUND | unknown | Small firm, 1 office, family law estate planning bankruptcy | https://www.blakepulsifer.com, https://www.blakepulsifer.com/family-law/ | Family law estate planning and bankruptcy, partner-led small firm, ratings not numerically confirmed
Lotzar Law Firm PC | Charles W. Lotzar | (480) 905-0300 | https://lotzar.com | Scottsdale | NOT_FOUND | NOT_FOUND | unknown | Small firm, 1 office, since 2005, business and real estate law | https://lotzar.com, https://lotzar.com/about-us/ | Business and real estate law, founder is owner with 25 plus years, ratings not numerically confirmed
Copper Canyon Law LLC | NOT_FOUND | (480) 833-3838 | https://coppercanyonlaw.com | Mesa | NOT_FOUND | NOT_FOUND | yes | Multi-attorney small firm, several offices, estate planning family bankruptcy business | https://coppercanyonlaw.com, https://coppercanyonlaw.com/estate-planning-select-an-attorney/ | Estate planning family law bankruptcy and business, owner not single-identified, online schedule-a-consultation page, Yelp 10 reviews
HP Law (Hasegawa Probate & Estate Planning PLC) | Ian Hasegawa | (623) 299-2722 | https://www.hplawaz.com | Glendale | NOT_FOUND | NOT_FOUND | unknown | Solo owner, by-appointment office, estate planning and probate | https://www.hplawaz.com, https://www.hplawaz.com/about-us/ | Estate planning wills trusts asset protection and probate, owner and principal attorney, by appointment, ratings not numerically confirmed
Bastian Law Offices PLC | Cole Bastian | (480) 526-4614 | https://www.bastianlaw.com | Mesa | NOT_FOUND | NOT_FOUND | unknown | Solo managing partner, 1 office, 20 plus years, family law | https://www.bastianlaw.com, https://lawyers.justia.com/lawyer/cole-bastian-1500841 | Family law divorce custody, founder and managing partner is owner, also Judge Pro Tem, ratings not numerically confirmed
