target,city_state,metro,website,decision_maker,dm_title,contact_path,size_signal,public_pain_signal,score,warm_or_cold,best_channel,pain_monthly_est,pain_summary,ai_fix,status,source_url
"Digby Family Law","Nashville, TN","Nashville","digbyfamilylaw.com","Sarah Digby","Founder / Owner Attorney","Website contact form / main line (see site)","Boutique 4-attorney all-female family firm; founder in NBJ 40-under-40","Growing boutique; consult-driven; intake volume outpacing a small front desk",88,"cold","Loom email + phone","$7,000-$17,500 (est.)","Missed intake while attorneys are in court/consults -> lost signed matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.digbyfamilylaw.com/"
"Rogers, Shea & Spanos","Nashville, TN","Nashville","midtnlawyers.com","Helen Sfikas Rogers","Founding Partner","Website contact form / main line (see site)","Established small family-law firm, 30+ yrs, founder-led","Reputation drives steady consult demand into a small office",83,"cold","Loom email + phone","$7,000-$17,500 (est.)","Missed intake while in court/consults -> lost signed matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.midtnlawyers.com/about-the-firm/attorneys/"
"Law Office of Elaine McGinnis P.A.","Tampa, FL","Tampa","estatelawtampa.com","Elaine McGinnis","Owner Attorney","Website contact form / main line (see site)","Solo owner; estate/probate/guardianship; 15+ yrs licensed","Solo estate practice; line covered business hours only",87,"cold","Loom email + phone","$3,500-$10,500 (est.)","Missed consult requests (after-hours/lunch/in-meeting) -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.estatelawtampa.com/"
"AWS Law Firm","Tampa, FL","Tampa","awslaw.org","Aaron W. Saoud","Owner Attorney","Website contact form / main line (see site)","Owner-operated probate/estate firm; positions as big-firm skill without overhead","Lean-staffing-by-design = missed-call exposure on the main line",84,"cold","Loom email + phone","$3,500-$10,500 (est.)","Missed probate/estate consult calls -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://awslaw.org/"
"Buitrago Law Firm PA","Tampa, FL","Tampa","buitragolawfirm.com","Ernesto J. Buitrago","Founder / Owner Attorney","Website contact form / main line (see site)","Solo-led immigration firm; Super Lawyers Rising Star 2022-2023","Immigration callers ring after work hours; bilingual demand on one small line",89,"cold","Loom email + phone","$3,500-$14,000 (est.)","Missed bilingual/after-hours immigration intake -> lost retained matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7 (bilingual), qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.buitragolawfirm.com/"
"Francisca Diaz Law","Tampa, FL","Tampa","franciscadiazlaw.com","Francisca Diaz","Founding Attorney","Website contact form / main line (see site)","Solo-led immigration practice, 20+ yrs in Tampa","High call volume, bilingual clientele; solo-scale intake",86,"cold","Loom email + phone","$3,500-$14,000 (est.)","Missed bilingual/after-hours immigration intake -> lost retained matters; benchmark est., confirm on call","AI intake line: answers 24/7 (bilingual), qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.franciscadiazlaw.com/"
"Pardo Law Firm, PLLC","Charlotte, NC","Charlotte","pardolawfirm.com","Jorge Pardo (+ Brooke Claiborne)","Founder / Owner Attorney","Website contact form / main line (see site)","2-attorney immigration firm; voted top-3 in Charlotte 8 yrs running","Award visibility drives call volume into a 2-attorney office",90,"cold","Loom email + phone","$3,500-$14,000 (est.)","Missed bilingual/after-hours immigration intake -> lost retained matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7 (bilingual), qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.pardolawfirm.com/"
"Law Office of Kelli Y. Allen, PLLC","Charlotte, NC (University area)","Charlotte","kyalaw.com","Kelli Y. Allen","Owner Attorney","Website contact form / main line (see site)","Small office; immigration + family + guardianship + criminal","Mixed consumer practice = constant intake triage on one small line",85,"cold","Loom email + phone","$3,500-$14,000 (est.)","Missed immigration/family intake calls -> lost retained matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.kyalaw.com/"
"Sussman Law Firm, PLLC","Charlotte, NC","Charlotte","sussmanlawfirmpllc.com","Maria Ximena Sussman","Owner / Founder","Website contact form / main line (see site)","Founder-owned (2015); family + immigration; fast-growing small firm","Fast growth = intake volume outrunning the front desk",87,"cold","Loom email + phone","$3,500-$14,000 (est.)","Missed bilingual family/immigration intake -> lost retained matters; benchmark est., confirm on call","AI intake line: answers 24/7 (bilingual), qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.sussmanlawfirmpllc.com/"
"Hatcher Law Group","Charlotte, NC (Uptown)","Charlotte","hatcherlawgroup.com","J. Gregory Hatcher","Founding Partner","Website contact form / main line (see site)","Boutique family-law firm; board-certified specialist partners","High-stakes divorce consults; boutique staffing on the phones",84,"cold","Loom email + phone","$7,000-$17,500 (est.)","Missed intake while in court/consults -> lost signed matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://hatcherlawgroup.com/"
"Mick Levin, PLC","Phoenix, AZ","Phoenix","mlplc.com","Mick Levin","Founder / Owner Attorney","Website contact form / main line (see site)","Owner-named PI firm, single office, trial-focused founder","Owner in trial = phones uncovered; PI intake is 24/7 and first-to-answer signs",88,"cold","Loom email + phone","$7,000-$25,000 (est.)","Missed/after-hours injury intake calls -> lost signed matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://mlplc.com/"
"Nicole Pavlik Law Firm","Phoenix, AZ","Phoenix","npavliklaw.com","Nicole Pavlik","Founder / Managing Attorney","Website contact form / main line (see site)","Solo founder; estate + probate + business planning; 10+ yrs","Solo estate practice; every consult booked by one small office",85,"cold","Loom email + phone","$3,500-$10,500 (est.)","Missed consult requests (after-hours/lunch/in-meeting) -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://npavliklaw.com/"
"Pfarr & Rethore, P.C.","Phoenix, AZ","Phoenix","p-rlaw.com","Managing partner [verify]","Partner / Owner Attorney","Website contact form / main line (see site)","Boutique estate planning/probate/trust-administration firm","Two-name boutique; small front office on the main line",82,"cold","Loom email + phone","$3,500-$10,500 (est.)","Missed estate/probate consult calls -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.p-rlaw.com/"
"Morgan & Morgan","Tampa, FL (national; HQ Orlando)","Tampa","forthepeople.com","N/A","Mega-firm, 1,000+ attorneys","N/A","America's largest PI firm; 1,000+ lawyers, offices nationwide","Already runs staffed 24/7 intake at national scale",20,"cold","—","—","HALT: 1,000+ attorney national firm with staffed 24/7 intake -> the missed-call pain does not exist; not the owner-operator buyer","—","HALT","https://www.forthepeople.com/"
"Lerner & Rowe Injury Attorneys","Phoenix, AZ","Phoenix","lernerandrowe.com","N/A","Multi-state advertising firm","N/A","35+ attorneys, ~20 offices across 7 states","24/7 phone + LiveChat staffed by dedicated intake specialists",25,"cold","—","—","HALT: staffed 24/7 intake call center already in place -> nothing for the AI front desk to recover; ICP mismatch","—","HALT","https://lernerandrowe.com/contact/"
"Holland & Knight LLP","Tampa, FL","Tampa","hklaw.com","N/A","Global law firm","N/A","~2,200 attorneys, 35 offices worldwide (founded Tampa 1889)","BigLaw: institutional clients, committee buying, no SMB intake line",10,"cold","—","—","HALT: BigLaw (~2,200 attorneys) -> no owner-operator buyer and no missed-intake pain model; out of ICP","—","HALT","https://www.hklaw.com/en/offices/tampa"
"Modern Family Law","Denver, CO","Denver","modernfamilylaw.com","N/A","Multi-state platform firm","N/A","43 lawyers, 9 offices across CO/CA/TX/WA/GA","Centralized multi-office intake operation",30,"cold","—","—","HALT: 43-lawyer multi-state platform with centralized intake -> exceeds solo-to-~10 ICP; not the owner-operator buyer","—","HALT","https://www.modernfamilylaw.com/our-locations/"
"HCA Healthcare Legal Department","Nashville, TN","Nashville","hcahealthcare.com/legal","N/A","In-house legal dept (CLO-led)","N/A","~116-lawyer in-house department of a Fortune 100 health system","Not a law firm; no inbound client intake line",5,"cold","—","—","HALT: in-house corporate legal department -> not a law firm and no client intake to fix; out of scope by definition","—","HALT","https://www.hcahealthcare.com/legal"
