vertical,target,city_state,metro,website,decision_maker,dm_title,contact_path,size_signal,public_pain_signal,score,warm_or_cold,best_channel,pain_monthly_est,pain_summary,ai_fix,status,source_url
accounting,TriStar Tax and Business Solutions,"Nashville / Hendersonville, TN",Nashville,tristarteam.tax,"Brad Jones, CPA",Owner / Founder,Website contact form / main line (see site),"Locally owned, family operated since 2014; small team across 5 middle-TN offices",Multi-office small firm = call routing pain across sites; growth outpacing the front desk,85,cold,Loom email + phone,"$2,500-$6,000 (est.)","Missed/misrouted calls across 5 small offices (worst Jan-Apr) -> lost retained clients; PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://tristarteam.tax/about-tristar-tax-and-business-solutions/
accounting,"Louis Haskel, CPA, PA","Clearwater, FL",Tampa,lhaskelcpa.com,"Louis Haskel, CPA",Owner,Website contact form / main line (see site),"Solo owner-CPA since 1993, single office; serves greater Tampa Bay",Lou works personally with each client = nobody else answers the line; payroll + tax + books,89,cold,Loom email + phone,"$1,000-$3,000 (est.)","Missed calls while solo owner is in client work (worst Jan-Apr) -> lost retained clients ($1,500-$5,000/yr each); doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://lhaskelcpa.com/about-us/
accounting,"CPA Tax Services, LLC","Riverview, FL",Tampa,tampataxcpa.com,"Mike Fletcher, CPA [verify]",Owner,Website contact form / main line (see site),"Owner + ~3 staff (CPA, EA, admin), single office; ex-IRS-agent founder",Tax-resolution + prep demand is deadline-driven; tiny team already uses an online scheduler,87,cold,Loom email + phone,"$1,500-$4,000 (est.)","Tax-season call spikes overflow a 4-person office -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://tampataxcpa.com/
accounting,"Josh Cahan, CPA","Charlotte, NC",Charlotte,joshcahancpa.com,"Josh Cahan, CPA",Owner,Website contact form / main line (see site),"Solo owner-CPA (ex-KPMG), single office (Fairview Rd)",Solo advisor since 1995; bookkeeping + tax + crypto/IRS-resolution niches drive inbound calls,88,cold,Loom email + phone,"$1,000-$3,000 (est.)","Missed calls while solo owner is in client work (worst Jan-Apr) -> lost retained clients ($1,500-$5,000/yr each); doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.joshcahancpa.com/about-us.htm
accounting,"Todd Greene, CPA, PLLC","Charlotte, NC",Charlotte,toddgreenecpa.com,"Todd Greene, CPA",Owner,Website contact form / main line (see site),"Owner + ~3 staff (office manager, tax manager), single office",3-person office = second caller rolls to voicemail in season; small-biz accounting focus,87,cold,Loom email + phone,"$1,500-$4,000 (est.)","Tax-season call spikes overflow a 3-person desk -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://toddgreenecpa.com/our-firm/
accounting,"David Love CPA, PLLC","Charlotte, NC",Charlotte,love-cpa.com,"David Love, CPA",Owner,Website contact form / main line (see site),"Owner-led PLLC since 1988, single office; small-biz accounting + back-tax relief","Tax-resolution callers are urgent and shop fast; owner-led office, thin desk",86,cold,Loom email + phone,"$1,500-$4,000 (est.)","Missed urgent back-tax/season calls -> lost retained clients ($1,500-$5,000/yr each); doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.love-cpa.com/about.htm
accounting,"Lowy's Tax Planning & Accounting, PLLC","Phoenix, AZ",Phoenix,lowyyourtaxes.com,"Alex Lowy, CPA",Founder / Owner,Website contact form / main line (see site),Owner-founded 2002; small team; 300+ small-biz clients + 600 individual returns/yr,600 returns/yr = brutal Jan-Apr phone + document chase on a small office,91,cold,Loom email + phone,"$2,500-$6,000 (est.)","Tax-season call spikes across 900+ engagements -> lost retained clients ($1,500-$5,000/yr each); organizer/PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.lowyyourtaxes.com/about-us.htm
accounting,"Urke & Stoller, LLP","Phoenix, AZ",Phoenix,urkecpa.com,Steven Urke [verify],Managing Partner,Website contact form / main line (see site),"Boutique 2-partner LLP (Urke + Stoller), single office (N Tatum Blvd)",Boutique full-service firm = partners do the work AND own the phone,85,cold,Loom email + phone,"$1,500-$4,500 (est.)","Tax-season call spikes overflow a 2-partner office -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.urkecpa.com/
accounting,"H&H Accounting Services, LLC","Phoenix, AZ",Phoenix,hhcpaservices.com,"Firm owners (Maija + Bryson, CPA) [verify]",Owners,Website contact form / main line (see site),"Family-run independent firm; small team (owners + ops director), Phoenix + Scottsdale","Family-run, relationship-positioned = owners do the work AND answer the phones",84,cold,Loom email + phone,"$1,500-$4,500 (est.)","Tax-season call spikes overflow a family-run desk -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.hhcpaservices.com/about-hh-cpa
accounting,Foster Financial CPA,"Scottsdale / Phoenix, AZ",Phoenix,fosterfinancialcpa.com,"Nick T. Foster, CPA",Founder / Owner,Website contact form / main line (see site),"Boutique owner-led firm, founded 2016; small-biz accounting, payroll + tax",Boutique small-biz book (construction niche) = deadline-driven call bursts on a thin desk,85,cold,Loom email + phone,"$1,500-$4,500 (est.)","Tax-season call spikes overflow a boutique desk -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://fosterfinancialcpa.com/about-us/
accounting,"Hamilton & Associates CPA, LLC","Brandon, FL",Tampa,cpabrandonfl.com,Rachel Santana + Dustin Orr [verify],Owner / Partner + Managing Member,Website contact form / main line (see site),"Owner-operated since 1983; ~3 small offices (Brandon, Plant City, Gainesville GA) — verify size",Multi-office small firm + recent merger = call routing + onboarding load across sites,83,cold,Loom email + phone,"$2,500-$6,000 (est.)","Missed/misrouted calls across 3 small offices (worst Jan-Apr) -> lost retained clients; PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call + verify size","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.cpabrandonfl.com/
accounting,Tax Happens LLC,"Riverview, FL",Tampa,taxhappens.com,"Theresa Turner, CPA",Founder / Owner,Website contact form / main line (see site),"Boutique 2-3 person firm (owner CPA/MTax + EA), single office + virtual clients",Boutique hands-on model = the owner is the front desk; 25+ yrs book of small-biz clients,88,cold,Loom email + phone,"$1,000-$3,000 (est.)","Missed calls while owner is in client work (worst Jan-Apr) -> lost retained clients ($1,500-$5,000/yr each); doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://taxhappens.com/about-us/
accounting,H&R Block,"Kansas City, MO (HQ; ~9,000 offices nationwide)",National,hrblock.com,N/A,National tax-prep chain,N/A,Publicly traded national chain; corporate + franchise retail offices in every metro,Corporate call centers + retail staffing own the phones,10,cold,—,—,HALT: national chain with corporate intake/call-center infrastructure -> no owner-operator buyer; the missed-call pain model does not apply,—,HALT,https://www.hrblock.com/
accounting,Deloitte Tax LLP,"Charlotte, NC (global Big 4)",Charlotte,deloitte.com,N/A,Big 4 professional services,N/A,Big 4: hundreds of thousands of employees globally; institutional clients,"Enterprise buying committees, staffed client-service infrastructure",5,cold,—,—,"HALT: Big 4 -> no SMB owner-operator, no front-desk pain; out of ICP by definition",—,HALT,https://www.deloitte.com/us/en.html
accounting,1-800Accountant,"New York, NY (virtual, serves all metros)",National,1800accountant.com,N/A,National virtual accounting firm,N/A,Large national virtual firm; dedicated client-service / advisory teams and central scheduling,Staffed central client-service desk already answers and books,20,cold,—,—,HALT: staffed central client-service desk + central scheduling already in place -> nothing for the AI front desk to recover; not the owner-operator buyer,—,HALT,https://1800accountant.com/
accounting,Dark Horse CPAs,"San Diego, CA (HQ; remote principals incl. Nashville/Charlotte)",Nashville,darkhorse.cpa,N/A,National distributed CPA firm,N/A,100% remote national firm with principals in many metros; centralized brand + client experience,Surfaces in local searches as 'boutique' but is a national platform,35,cold,—,—,HALT: national distributed platform (centralized intake/CX behind local-looking pages) -> not an independent owner-operated local firm; ICP mismatch,—,HALT,https://www.darkhorse.cpa/locations/
accounting,Randolph Business Resources (RBR),"Nashville, TN",Nashville,randolphacctg.com,N/A,Outsourced bookkeeping/accounting platform,N/A,"40+ professionals, Inc. 5000 honoree; founded 2009",Has internal ops/admin staffing at scale,38,cold,—,—,HALT: 40+ staff outsourced-accounting platform with staffed central ops -> exceeds solo-to-~20 ICP; owner does not own the phone,—,HALT,https://randolphacctg.com/about/
law,Loewy Law Firm,"Austin, TX",Austin,personalinjurylawyersaustintx.com,Adam Loewy,Founder / Owner Attorney,Website contact form / main line (see site),"Solo-led PI firm, founded 2005; deliberately small docket",PI intake is 24/7 and first-to-answer usually signs; small docket = small intake staff,92,cold,Loom email + phone,"$7,000-$25,000 (est.)","Missed/after-hours injury intake calls -> lost signed matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://personalinjurylawyersaustintx.com/our-law-firm/
law,"Bonilla Law Firm, PLLC","Austin, TX",Austin,bonillainjurylaw.com,Jonathan (Jon) Bonilla (+ Brad Bonilla),Owner / Founding Attorney,Website contact form / main line (see site),"Locally owned, family-run PLLC; 2 primary attorneys, 35+ yrs","Family-run PI firm; injury calls land nights/weekends, no big intake team",90,cold,Loom email + phone,"$7,000-$25,000 (est.)","Missed/after-hours injury intake calls -> lost signed matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.bonillainjurylaw.com/
law,Nielsen Law PLLC,"Austin, TX",Austin,estateplanatx.com,Liz Nielsen,Founder / Owner Attorney,Website contact form / main line (see site),Boutique estate-planning firm; board-certified founder,"Consult-driven estate practice; small office line, business hours only",84,cold,Loom email + phone,"$3,500-$10,500 (est.)","Missed consult requests (after-hours/lunch/in-meeting) -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://estateplanatx.com/
law,"Scofield & Scofield, P.C.","Austin, TX",Austin,scofieldlawfirm.com,Frank Scofield (+ Janice Pierce),Partner / Owner Attorney,Website contact form / main line (see site),"Two board-certified estate attorneys, 20+ yrs practicing together",Long-established 2-attorney estate firm; thin front office,82,cold,Loom email + phone,"$3,500-$10,500 (est.)","Missed consult requests (after-hours/lunch/in-meeting) -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,http://www.scofieldlawfirm.com/austin-estate-planning-attorneys.html
law,"McCoy Family Law, LLC","Denver, CO",Denver,mccoyfamilylawdenver.com,Colleen McCoy,Owner / Founding Attorney,Website contact form / main line (see site),Solo owner-attorney family-law practice,Solo attorney in court/mediation = unanswered line; family-law callers shop fast,91,cold,Loom email + phone,"$7,000-$17,500 (est.)","Missed intake while in court/consults -> lost signed matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://mccoyfamilylawdenver.com/
law,"Hogan Omidi, P.C.","Denver, CO",Denver,hoganomidi.com,Kathleen A. Hogan,Founding Equity Partner,Website contact form / main line (see site),Boutique family-law firm; individualized-caseload model (anti-volume),High-stakes divorce consults gate revenue; boutique staffing on the phones,85,cold,Loom email + phone,"$7,000-$17,500 (est.)","Missed intake while in court/consults -> lost signed matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.hoganomidi.com/attorney/kathleen-a-hogan/
law,Orr Law Firm,"Denver, CO",Denver,orrlaw.com,Rhidian Orr,Founder / Senior Partner,Website contact form / main line (see site),DUI/criminal defense boutique; founder-led,DUI arrests happen nights/weekends; unanswered line -> caller retains next firm,88,cold,Loom email + phone,"$7,000-$17,500 (est.)","After-hours arrest/DUI calls unanswered -> lost retained matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.orrlaw.com/
law,Babcock Tucker,"Denver, CO",Denver,injurylawcolorado.com,R. Mack Babcock,Founder / Owner Attorney,Website contact form / main line (see site),Small plaintiff-side PI/workers-comp firm; founder-led,Contingency PI intake = speed-to-lead decides who signs; small team,87,cold,Loom email + phone,"$7,000-$25,000 (est.)","Missed/after-hours injury intake calls -> lost signed matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.injurylawcolorado.com/
law,"Mark Scruggs, Attorney at Law","Nashville, TN",Nashville,markscruggs.com,Mark Scruggs,Solo Practitioner / Owner,Website contact form / main line (see site),"True solo, 40+ yrs; works every case start-to-finish",Solo in court all day = dead line; criminal callers dial the next attorney,89,cold,Loom email + phone,"$7,000-$17,500 (est.)","Unanswered calls while solo attorney is in court -> lost retained matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.markscruggs.com/
law,M. Don Himmelberg & Associates,"Nashville, TN",Nashville,tncriminaldefensefirm.com,M. Don Himmelberg,Founder / Owner Attorney,Website contact form / main line (see site),"Small criminal-defense firm, founded 1992; ex-prosecutor founder",Criminal intake is urgent and after-hours by nature; small office,86,cold,Loom email + phone,"$7,000-$17,500 (est.)","After-hours arrest calls unanswered -> lost retained matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://lawyers.justia.com/firm/m-don-himmelberg-associates-7217
law,Digby Family Law,"Nashville, TN",Nashville,digbyfamilylaw.com,Sarah Digby,Founder / Owner Attorney,Website contact form / main line (see site),Boutique 4-attorney all-female family firm; founder in NBJ 40-under-40,Growing boutique; consult-driven; intake volume outpacing a small front desk,88,cold,Loom email + phone,"$7,000-$17,500 (est.)","Missed intake while attorneys are in court/consults -> lost signed matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.digbyfamilylaw.com/
law,"Rogers, Shea & Spanos","Nashville, TN",Nashville,midtnlawyers.com,Helen Sfikas Rogers,Founding Partner,Website contact form / main line (see site),"Established small family-law firm, 30+ yrs, founder-led",Reputation drives steady consult demand into a small office,83,cold,Loom email + phone,"$7,000-$17,500 (est.)","Missed intake while in court/consults -> lost signed matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.midtnlawyers.com/about-the-firm/attorneys/
law,Law Office of Elaine McGinnis P.A.,"Tampa, FL",Tampa,estatelawtampa.com,Elaine McGinnis,Owner Attorney,Website contact form / main line (see site),Solo owner; estate/probate/guardianship; 15+ yrs licensed,Solo estate practice; line covered business hours only,87,cold,Loom email + phone,"$3,500-$10,500 (est.)","Missed consult requests (after-hours/lunch/in-meeting) -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.estatelawtampa.com/
law,AWS Law Firm,"Tampa, FL",Tampa,awslaw.org,Aaron W. Saoud,Owner Attorney,Website contact form / main line (see site),Owner-operated probate/estate firm; positions as big-firm skill without overhead,Lean-staffing-by-design = missed-call exposure on the main line,84,cold,Loom email + phone,"$3,500-$10,500 (est.)","Missed probate/estate consult calls -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://awslaw.org/
law,Buitrago Law Firm PA,"Tampa, FL",Tampa,buitragolawfirm.com,Ernesto J. Buitrago,Founder / Owner Attorney,Website contact form / main line (see site),Solo-led immigration firm; Super Lawyers Rising Star 2022-2023,Immigration callers ring after work hours; bilingual demand on one small line,89,cold,Loom email + phone,"$3,500-$14,000 (est.)","Missed bilingual/after-hours immigration intake -> lost retained matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7 (bilingual), qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.buitragolawfirm.com/
law,Francisca Diaz Law,"Tampa, FL",Tampa,franciscadiazlaw.com,Francisca Diaz,Founding Attorney,Website contact form / main line (see site),"Solo-led immigration practice, 20+ yrs in Tampa","High call volume, bilingual clientele; solo-scale intake",86,cold,Loom email + phone,"$3,500-$14,000 (est.)","Missed bilingual/after-hours immigration intake -> lost retained matters; benchmark est., confirm on call","AI intake line: answers 24/7 (bilingual), qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.franciscadiazlaw.com/
law,"Pardo Law Firm, PLLC","Charlotte, NC",Charlotte,pardolawfirm.com,Jorge Pardo (+ Brooke Claiborne),Founder / Owner Attorney,Website contact form / main line (see site),2-attorney immigration firm; voted top-3 in Charlotte 8 yrs running,Award visibility drives call volume into a 2-attorney office,90,cold,Loom email + phone,"$3,500-$14,000 (est.)","Missed bilingual/after-hours immigration intake -> lost retained matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7 (bilingual), qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.pardolawfirm.com/
law,"Law Office of Kelli Y. Allen, PLLC","Charlotte, NC (University area)",Charlotte,kyalaw.com,Kelli Y. Allen,Owner Attorney,Website contact form / main line (see site),Small office; immigration + family + guardianship + criminal,Mixed consumer practice = constant intake triage on one small line,85,cold,Loom email + phone,"$3,500-$14,000 (est.)","Missed immigration/family intake calls -> lost retained matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.kyalaw.com/
law,"Sussman Law Firm, PLLC","Charlotte, NC",Charlotte,sussmanlawfirmpllc.com,Maria Ximena Sussman,Owner / Founder,Website contact form / main line (see site),Founder-owned (2015); family + immigration; fast-growing small firm,Fast growth = intake volume outrunning the front desk,87,cold,Loom email + phone,"$3,500-$14,000 (est.)","Missed bilingual family/immigration intake -> lost retained matters; benchmark est., confirm on call","AI intake line: answers 24/7 (bilingual), qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.sussmanlawfirmpllc.com/
law,Hatcher Law Group,"Charlotte, NC (Uptown)",Charlotte,hatcherlawgroup.com,J. Gregory Hatcher,Founding Partner,Website contact form / main line (see site),Boutique family-law firm; board-certified specialist partners,High-stakes divorce consults; boutique staffing on the phones,84,cold,Loom email + phone,"$7,000-$17,500 (est.)","Missed intake while in court/consults -> lost signed matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://hatcherlawgroup.com/
law,"Mick Levin, PLC","Phoenix, AZ",Phoenix,mlplc.com,Mick Levin,Founder / Owner Attorney,Website contact form / main line (see site),"Owner-named PI firm, single office, trial-focused founder",Owner in trial = phones uncovered; PI intake is 24/7 and first-to-answer signs,88,cold,Loom email + phone,"$7,000-$25,000 (est.)","Missed/after-hours injury intake calls -> lost signed matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://mlplc.com/
law,Nicole Pavlik Law Firm,"Phoenix, AZ",Phoenix,npavliklaw.com,Nicole Pavlik,Founder / Managing Attorney,Website contact form / main line (see site),Solo founder; estate + probate + business planning; 10+ yrs,Solo estate practice; every consult booked by one small office,85,cold,Loom email + phone,"$3,500-$10,500 (est.)","Missed consult requests (after-hours/lunch/in-meeting) -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://npavliklaw.com/
law,"Pfarr & Rethore, P.C.","Phoenix, AZ",Phoenix,p-rlaw.com,Managing partner [verify],Partner / Owner Attorney,Website contact form / main line (see site),Boutique estate planning/probate/trust-administration firm,Two-name boutique; small front office on the main line,82,cold,Loom email + phone,"$3,500-$10,500 (est.)","Missed estate/probate consult calls -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days",PROCEED,https://www.p-rlaw.com/
