target,city_state,metro,website,decision_maker,dm_title,contact_path,size_signal,public_pain_signal,score,warm_or_cold,best_channel,pain_monthly_est,pain_summary,ai_fix,status,source_url
"Central Denver Eye Care","Denver, CO (Golden Triangle)","Denver","centraldenvereyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent, single location","Personalized, neighborhood practice",87,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.centraldenvereyecare.com/"
"Peepers Optical","Denver, CO","Denver","peepersopticaldup.ecpbuilder.com","Dr. Raymond McCleery","Owner / Optometrist","Website contact form / main line (see site)","Private, owner-couple operated","Owner-operated private; Denver metro",86,"cold","Loom email + phone","$2,500-$5,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://peepersopticaldup.ecpbuilder.com/"
"Elevated Eyecare","Denver, CO","Denver","elevatedeyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent, single location","Independent Denver practice",84,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.elevatedeyecare.com/"
"Denver Eye Practice & Optical","Denver, CO","Denver","dep2020.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent, single location","Independent optometrist + optical",83,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.dep2020.com/"
"Envision Eyecare","Aurora, CO","Denver","envision-eyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent, Aurora","Suburban family practice",82,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://envision-eyecare.com/our-practice/"
"Look East","Nashville, TN (East Nashville)","Nashville","lookeastnashville.com","Dr. Brasfield","Owner / Optometrist","Website contact form / main line (see site)","Independent boutique, est. 2016, single location","Boutique optical; owner-founder, design-led",89,"cold","Loom email + phone","$2,500-$5,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.lookeastnashville.com/"
"Barnes Talero EyeCare","Nashville, TN","Nashville","barnestaleroeyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent locally owned, est. 2008, bilingual","Family practice, bilingual = high call demand",88,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://barnestaleroeyecare.com/"
"Elite Eyecare","Nashville, TN","Nashville","[verify domain]","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independently owned, single location","Fair-pricing positioned independent",85,"cold","Loom email + phone","$2,500-$5,000 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://topeyedoctorsnearme.com/optometrist-nashville-tn/"
"Bellevue Eyecare Center","Nashville, TN (Bellevue)","Nashville","[verify domain]","Dr. James Kirkconnell","Owner / Optometrist","Website contact form / main line (see site)","Independently owned, est. 2007","Established owner-operated practice",84,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://topeyedoctorsnearme.com/optometrist-nashville-tn/"
"Optique Nashville","Nashville, TN","Nashville","optiquenashville.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Single location, dry-eye specialty (verify independence)","Niche dry-eye demand; verify ownership",81,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.optiquenashville.com/"
"Music City Optical","Nashville, TN (Music Row)","Nashville","musiccityoptical.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Single location, aesthetics + eye care","Boutique Music Row practice",80,"cold","Loom email + phone","$2,500-$5,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://musiccityoptical.com/"
"Britton Vision","Tampa, FL","Tampa","brittonvisionfl.com","Dr. Moi","Owner / Optometrist","Website contact form / main line (see site)","Privately owned independent, single location","Owner-OD private, all ages",89,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://brittonvisionfl.com/"
"Absolutely Optical","Tampa, FL","Tampa","absolutelyoptical.com","Dr. Jay Weil","Owner / Optometrist","Website contact form / main line (see site)","Independent doctor-owned, 35+ yrs, single location","Established owner-OD; premium positioning",88,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.absolutelyoptical.com/"
"Bright Eyes Family Vision Care","Tampa, FL (Westchase + New Tampa)","Tampa","brighteyestampa.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Family-owned, 2 locations","2 sites incl. pediatric = high call volume + routing",86,"cold","Loom email + phone","$5,000-$11,000 (est.)","Missed inbound calls across 2 sites -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.brighteyestampa.com/"
"I-Care Optical","Tampa, FL","Tampa","icaretampa.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent, single location (Sheldon Rd)","Independent neighborhood practice",84,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.icaretampa.com/"
"Mason Eye Clinic","St. Petersburg, FL","Tampa","masoneyeclinic.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent, single location","Independent St. Pete optometry",82,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://masoneyeclinic.com/"
"Charlotte Family Eye Care","Charlotte, NC","Charlotte","charlottefamilyeyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Locally owned private, 30+ yrs, single location","Long-established family practice; deep recall list",88,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.charlottefamilyeyecare.com"
"Innovative Eye Care","Charlotte, NC (Dilworth)","Charlotte","innovativeeyecare.net","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent, since 2011, single location","Independent Dilworth practice",86,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://innovativeeyecare.net/"
"Autarchic Spec Shop","Charlotte, NC (SouthPark)","Charlotte","autarchicspecshop.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Boutique independent, single location","Boutique, not a chain; design-led",83,"cold","Loom email + phone","$2,500-$5,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://autarchicspecshop.com/"
"Piedmont EyeCare Associates","Charlotte, NC","Charlotte","charlotteoptometry.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent group, multi-OD (verify size)","Larger independent group; verify fit",80,"cold","Loom email + phone","$5,000-$11,000 (est.)","Missed inbound calls across a busy multi-OD group -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://charlotteoptometry.com/"
"University Eye Associates","Mecklenburg County, NC","Charlotte","universityeye.net","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Multi-location group (verify size/ownership)","Multi-site group; verify it is owner-operated",78,"cold","Loom email + phone","$5,000-$11,000 (est.)","Missed inbound calls across sites -> lost bookings; benchmark est., confirm on call + verify size","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.universityeye.net/family-eye-care"
"Paradise Valley Eyecare","Phoenix, AZ","Phoenix","pveyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent, single location, all ages","Family practice; warm/personalized positioning",87,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.pveyecare.com/"
"Phoenix Eye Doctors","Phoenix, AZ","Phoenix","phoenixeyedocs.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent vision care provider, single location","Independent family practice",86,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://phoenixeyedocs.com/"
"Tatum Eyecare","Phoenix, AZ (North Phoenix)","Phoenix","tatumeyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent family practice, single location","Family eye care; recall-driven",86,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://tatumeyecare.com/"
"Central Phoenix Eye Care","Phoenix, AZ","Phoenix","centralphoenixeyecarepllc.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent PLLC, single location","Owner-operated PLLC, central Phoenix",85,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://centralphoenixeyecarepllc.com/"
"Phoenix Eye Care","Phoenix, AZ","Phoenix","phxeyecare.com","Dr. Shannon Steinhauser (+ Dr. Kuby, Dr. Eastman)","Owner / Optometrist","Website contact form / main line (see site)","Independent, 3 ODs, single location","Comprehensive 3-OD independent",84,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.phxeyecare.com/"
"Pearson Eyecare Group","Phoenix, AZ (Biltmore)","Phoenix","pearsoneyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent group, family + vision therapy","Group practice; verify size/fit",84,"cold","Loom email + phone","$5,000-$11,000 (est.)","Missed inbound calls across a busy group -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.pearsoneyecare.com/"
"Eye Care & Surgeons of Charlotte","Charlotte, NC","Charlotte","eyecareofcharlotte.com","N/A","Surgical group","N/A","Surgical/ophthalmology center (cataract/glaucoma/LASIK)","Surgical center, not owner-op front-desk SMB",35,"cold","—","—","HALT: surgical/ophthalmology center -> missed-call booking pain model does not fit; not the owner-operator buyer","—","HALT","https://eyecareofcharlotte.com/"
"Eye Doctors of Arizona","Phoenix, AZ","Phoenix","eyedraz.com","Dr. Warren/Benjamin/Matthew Heller","Ophthalmology surgeons","N/A","Ophthalmology surgical group, larger org","Surgical group, larger org",34,"cold","—","—","HALT: ophthalmology surgical group, larger org -> ICP mismatch (not the SMB owner-operator buyer)","—","HALT","https://www.eyedraz.com/"
"Kurt Theodore OD PA","Tampa Bay, FL","Tampa","tampa-eyedoctor.com","Dr. Kurt Theodore","Optometrist","N/A","Operates inside Walmart Vision Centers (host site)","Host site owns the front desk / call flow",40,"cold","—","—","HALT: located inside Walmart Vision Centers -> host owns the phones; the OD does not own the call flow we would fix","—","HALT","https://www.tampa-eyedoctor.com/"
"Nashville Regional Eye Care, P.C.","Nashville, TN","Nashville","nationalvision.com","N/A","Corporate-affiliated practice","N/A","Surfaced via National Vision (corporate-affiliated)","Corporate back office, not independent owner-op",30,"cold","—","—","HALT: National Vision-affiliated -> centralized corporate back office, not the independent owner-operator pain","—","HALT","https://www.nationalvision.com/careers/doctor-optometry/independent-practices/nashville-regional-eye-care-pc/"
"South Tampa Eye Clinic","Tampa, FL","Tampa","floridaeye.org","N/A","Multi-location platform","N/A","Sight360 / Florida Eye Specialists company (PE-backed)","PE-backed multi-location platform with central ops",32,"cold","—","—","HALT: Sight360 platform (PE-backed, multi-location) -> has central ops; not the SMB owner-operator pain","—","HALT","https://floridaeye.org/locations/south-tampa-eye-clinic/"
